,ano,estado_ibge,quantidade,valor_em_reais,estado,pib,codigo,area,população,idh,receita,despesa
196,2009,42,233,19877897.14,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
197,2010,42,314,26237658.77,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
198,2004,42,197,8576782.32,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
199,2005,42,252,11376809.481,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
200,2007,42,215,19608717.1,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
201,2008,42,250,16263025.86,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
202,2011,42,322,31733322.36,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
203,2012,42,307,37008576.45,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
204,2013,42,304,33605285.39,SC,256661190,42,95730921,7075494,774,34696772.82078,25595103.37918
205,2003,50,37,1418074.25,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
206,2004,50,39,1148773.84,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
207,2005,50,39,2837122.96,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
208,2006,50,30,2689122.13,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
209,2007,50,30,2641577.24,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
210,2008,50,22,741775.65,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
211,2009,50,18,898470.5,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
212,2010,50,19,1524173.96,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
213,2011,50,20,2447713.6,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
214,2012,50,25,2737417.78,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
215,2013,50,22,337819.86,MS,91865803,50,357145535,2748023,729,16396655.77012,14506915.37404
216,2003,51,13,255064.16,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
217,2004,51,37,1191249.9,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
218,2005,51,30,1335000.0,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
219,2006,51,24,2147255.43,MT,123834253,51,903206997,3441998,725,23958528.83588,18187363.27009
